rank_GPW_30as,rank_GPW_2.5am,rank_GHS_1km,name,threelett,area,pop,pwpd_GHS_1km,pwlogpd_GHS_1km,popdens,gamma_GHS_1km,pwpd_GPW_30as,pwlogpd_GPW_30as,pwpd_GPW_2.5am,pwlogpd_GPW_2.5am,pwpd_GPW_15am,pwlogpd_GPW_15am,pwpd_GPW_30am,pwlogpd_GPW_30am,pwpd_GPW_1deg,pwlogpd_GPW_1deg
110,105,35,Madagascar,MDG,587295,23558005.69,10822.8952,7.655576116,40.11272987,0.4214113,1284.687988,4.831548214,1078.516724,4.768111706,359.3068848,4.479941845,157.8375397,4.282806873,97.30055237,4.109489918
111,143,172,United Kingdom,IMN,570,81217.23705,1777.663406,6.880807898,142.4863808,0.397723494,1268.664063,6.318754196,709.6287842,5.92688942,119.9034042,4.762253761,0,0,0,0
112,108,170,Sweden,SWE,447430,8978301.439,1877.803649,6.600795723,20.06638231,0.348836842,1251.040771,5.383205891,1031.847046,5.293394566,305.0907593,4.543176174,280.6469421,4.640039444,86.58685303,3.917350292
113,106,153,Hungary,HUN,93030,9872163.195,2139.054289,6.92009607,106.1180608,0.262534005,1250.604492,5.660834789,1071.744751,5.576202869,457.1838074,5.241632462,208.7224579,4.976728439,159.8042603,4.893131733
114,102,145,Austria,AUT,83879.00391,8628422.93,2247.839263,6.836625087,102.867494,0.272051467,1246.335815,5.900789261,1106.800049,5.795017719,518.4729004,5.392772675,316.2524719,5.195752144,154.9112701,4.866713047
115,101,50,Venezuela,VEN,912050,29764192.96,8672.514887,8.540091451,32.63438732,0.406788927,1225.078247,5.654940605,1106.963013,5.595453739,592.0360718,5.228462219,352.526062,5.044882298,253.1818085,4.725839138
116,120,119,East Timor,TLS,14870,1110275.315,3499.088287,6.879839487,74.66545493,0.400457971,1207.444092,5.4037714,976.9678955,5.320524693,208.0216827,4.854122639,107.3899765,4.597359657,46.78297806,3.845519543
117,96,161,Marshall Islands,MHL,180,3127.08786,1929.326663,7.300262907,17.37271033,0.907002672,1206.907227,6.927009583,1215.792603,7.002248764,1277.273315,7.152482986,0,0,0,0
118,109,94,Uzbekistan,UZB,447400,30029947.96,4894.13238,7.576691633,67.12102807,0.329661535,1205.808105,5.354953766,1031.382935,5.325028419,380.5908203,5.143893719,289.303772,5.074221611,174.4285889,4.752793789
119,111,56,Ecuador,ECU,256370,15416193.15,8053.452884,8.423684685,60.13259409,0.393219523,1200.379517,5.921710491,1019.175354,5.811301231,380.1134338,5.224284649,226.8690796,4.998247623,154.3050385,4.756452084
